product_name
кюфтета
Кюфтета или кебапчета
Дребни сладки
Сироп бъз и слива 750 мл
Сироп от бъз и диня 750 мл
Сироп от бъз и лавандула 750 мл
Сироп от бъз и мента глог 750 мл
Сироп от бъз и пъпеш 750 мл
Сироп от бъз и рози 750 мл
Сироп от БЯЛ БЪЗ и череша 750 мл
"Сироп от БЯЛ БЪЗ , ДЖИНДЖИФИЛ И ПЧЕЛЕН МЕД 500 мл"
"Сироп от ЧЕРЕН БЪЗ , ВИОЛЕТКА И ПЧЕЛЕН МЕД 500 мл"
Сироп черен бъз и арония 750 мл
Суха челядинка 25 гр
"12 кутии от 5 мл ""БИО Течни ферментирали подправки Летни цветя"""
Brazil Dark Roast кафе на зърна 50 гр.
Brazil Medium roast кафе на зърна 50 гр.
Brazil кафе на зърна 200 гр.
Kомпот праскови с еритритол
БЕЗГЛУТЕНОВА КЕТО БАНИЦА
Билков чай МИКС Маточина / дилянка/ липа 75 гр.
Билков чай. Лайка
"Био пюре от сливи, ябълки и елда"
"Био пюре от ябълки, броколи и ориз"
БИО сладък ябълков оцет българска роза 100 мл
БИО сладък ябълков оцет Детокс 100 мл.
БИО сладък ябълков оцет Пушен червен пипер 100 мл
Био сок ябълка и арония
Био ферментирало масло Ванилия
буркан с пуйка обезкостена 520 гр
буркан с заешко месо 520 гр
буркан с месо от кокошка 520 гр
буркан с пилешко месо 520 гр
буркан с пилешко месо 540 гр
буркан с пилешко със зеленчуци 520 гр
буркан с пуешко месо 520 гр
буркан с пуешко месо 520 гр
буркан с пуешко месо от бут 520 гр
буркан с свинска пача 520 гр
буркан с свинска пача 540 гр
буркан с свински език 520 гр
буркан с свински уши 520 гр
буркан с свинско джоланче 520 гр
буркан с свинско с зеленчуци 520 гр
буркан с телешко месо 520 гр
буркан с телешко месо 520 гр
Български Шафран
Домашна финна лютеница
Йогурт сладолед БИО
КЕТО КОЗУНАЧЕН БЕЗГЛУТЕНОВ КЕКС 240 гр.
КЕТО ТОРТИЛА БЕЗ ГЛУТЕН
Козе сирене с трюфели на кубчета в зехтин
крем буено шампанско 100 гр
Крем от краве сирене с трюфели
Крем от овче сирене със сушени манатарки
Крем от сирене с песто от левурда
лешников тахан 300 гр
лешников тахан 85 гр
лешников тахан с протеин 500 гр
Люти чушки туршия
Млечен Сладолед
Млечен сладолед
Млечен сладолед Солен фъстък
МУРГАШ ПРЯСНО МЛЯКО 3.7% 1.5Л
"Мускатова ракия ЧУКАРА, 500 мл"
НАСИПЕН ЧАЙ МЕНТА ЛИСТ
ОВЕСЕН БАР КАРАМЕЛ И ВКУС НА СОЛЕН КАРАМЕЛ СЪС ЗАХАРИ
"ОВЕСЕН БАР С ГЛАЗУРА ЙОГУРТ И ВКУС НА ЧЕРЕШОВ БЕЙКУЕЛ СЪС ЗАХАРИ, 80g"
ОВЕСЕН БАР С АРОМАТ НА ЧЕРЕН ШОКОЛАД И БАНАН СЪС ЗАХАРИ
"ОВЕСЕН БАР С АРОМАТ НА ЧЕРЕН ШОКОЛАД И ПОРТОКАЛ СЪС ЗАХАРИ, 80 g"
Органичен протеинов веган черен шоколад без захар - КАШОН
Органичен протеинов веган черен шоколад без захар - кутия от 10
Органичен течен ферментирал кориандър
Печени слънчогледови семки без сол - черен
Печени слънчогледови семки без сол - черен 200 гр.
Печени слънчогледови семки без сол - черен 30 гр.
Печени слънчогледови семки със сол - бял слънчоглед
Печени слънчогледови семки със сол - бял слънчоглед
Печени слънчогледови семки със сол - бял слънчоглед
Печени слънчогледови семки със сол - бял слънчоглед 100 гр.
Печени слънчогледови семки със сол - бял слънчоглед 180 гр.
Печени слънчогледови семки със сол - бял слънчоглед 50гр.
Печени слънчогледови семки със сол - черен
Печени слънчогледови семки със сол - черен
Печени слънчогледови семки със сол - черен
Печени слънчогледови семки със сол - черен 200гр.
Печени слънчогледови семки със сол - шарен слънчоглед XL
Печени слънчогледови семки със сол - шарен слънчоглед XL
Печени слънчогледови семки със сол - шарен слънчоглед XL 350 гр.
Печени смокини без захар и подсладители 200 гр.
Русенско варено 300 гр.
Сироп от ЧЕРЕН БЪЗ И ПЧЕЛЕН МЕД 500 мл
Сироп от ЧЕРЕН БЪЗАК 750 мл.
Сладък ябълков оцет лавандула Алпи
Сладък ябълков оцет лавандула Алпи
Слънчогледов тахан 300 гр
Сок от Нар
Сусамов тахан
фъстъчен тахан 85 гр
Фъстъчен тахан с какаово масло 700 гр
фъстъчен тахан с шоколад 200 гр
Чай Сушени листa от роза Алба и Дамасцена
Шот куркума 100 мл.
Шот куркума 95 мл.
Шот лимон и мед 100 мл.
Шот лимон и мед 95 мл.
Ябълков оцет нефилтриран
Ябълков оцет нефилтриран
"""Айрян"" Явор М-Комерс 300мл"
"""Айрян"" Явор М-Комерс 500мл"
"""ПРОЛЕТ"" Краве Сирене, вакуум ~ 0,200 гр."
"""ПРОЛЕТ"" Краве Сирене, Кофа PVC ~ 4 кг./бр."
"""ПРОЛЕТ"" Краве Сирене, Кофа PVC ~ 8 кг./бр."
"""Пъстрогор"" Бяло Саламурено Биволско сирене, вакуум 0,200 кг/бр.,"
"""Пъстрогор"" Бяло Саламурено Биволско сирене, вакуум 0,400 кг/бр.,"
"""Пъстрогор"" Бяло Саламурено Биволско сирене, вакуум 0,800 кг/бр.,"
"""Пъстрогор"" Бяло Саламурено Биволско сирене, ПВЦ кофа 4 кг."
"""Пъстрогор"" Бяло Саламурено Биволско сирене, ПВЦ кофа 8 кг."
"""Пъстрогор"" Бяло Саламурено Биволско сирене, Тенекия 14 кг./бр."
"""ПЪСТРОГОР"" Бяло Саламурено Краве Сирене"
"""Пъстрогор"" Бяло Саламурено Краве Сирене, вакуум 0,200 кг/бр.,"
"""Пъстрогор"" Бяло Саламурено Краве Сирене, вакуум 0,400 кг/бр.,"
"""Пъстрогор"" Бяло Саламурено Краве Сирене, вакуум 0.100 кг"
"""Пъстрогор"" Бяло Саламурено Краве Сирене, изрезки"
"""Пъстрогор"" Бяло Саламурено Краве Сирене, кутия PVC 0,400 кг/бр.,"
"""Пъстрогор"" Бяло Саламурено Краве Сирене, натрошено ~1кг/бр.,"
"""ПЪСТРОГОР"" Бяло Саламурено Краве Сирене, вакуум 0,800 кг/бр."
"""ПЪСТРОГОР"" Бяло Саламурено Краве Сирене, Кофа PVC ~ 8 кг./бр."
"""ПЪСТРОГОР"" Бяло Саламурено Краве Сирене, кофа PVC ~ 4 кг/бр."
"""ПЪСТРОГОР"" Бяло Саламурено Краве Сирене, кутия PVC 0,800 кг/бр."
"""ПЪСТРОГОР"" Бяло Саламурено Краве Сирене, тенекия ~15 кг./бр."
"""Пъстрогор"" Бяло Саламурено Овче Сирене, вакуум 0.100 кг"
"""Пъстрогор"" Бяло Саламурено Овче Сирене, кутия PVC 0,400 кг/бр.,"
"""Пъстрогор"" Кашкавал от краве мляко, вакуум 4,5 кг., неточен грамаж"
"""Пъстрогор"" Кашкавал от краве мляко, вакуум 0.250 кг"
"""Пъстрогор"" Кашкавал от краве мляко, вакуум 0.500 кг"
"""Пъстрогор"" Кашкавал от краве мляко, вакуум 1 кг"
"""Пъстрогор"" Кашкавал от краве мляко, вакуум квадрат 0.250 кг"
"""Пъстрогор"" Кашкавал от краве мляко, вакуум квадрат 0.500 кг"
"""Пъстрогор"" Сирене смес от Козе и Краве мляко, вакуум 0,200 кг/бр."
"""Пъстрогор"" Сирене смес от Козе и Краве мляко, вакуум 0,400 кг/бр."
"""Пъстрогор"" Сирене смес от Козе и Краве мляко, вакуум 0,800 кг/бр."
"""Пъстрогор"" Сирене смес от Козе и Краве мляко, Кофа ПВЦ 4 кг./бр."
"""Пъстрогор"" Сирене смес от Козе и Краве мляко, Кофа ПВЦ 8 кг./бр."
"""Пъстрогор"" Сирене смес от Козе и Краве мляко, Кофа ПВЦ 8 кг./бр."
"""Пъстрогор"" Сирене смес от Козе и Краве мляко, Кофа ПВЦ 8 кг./бр."
"""Пъстрогор"" Сирене смес от Козе и Краве мляко, Тенекия 14 кг./бр."
"""Пъстрогор"" Сирене смес от Овче и Краве мляко, вакуум 0,200 кг/бр."
"""Пъстрогор"" Сирене смес от Овче и Краве мляко, вакуум 0,400 кг/бр."
"""Пъстрогор"" Сирене смес от Овче и Краве мляко, вакуум 0,800 кг/бр."
"""Пъстрогор"" Сирене смес от Овче и Краве мляко, Кофа ПВЦ 4 кг./бр."
"""Пъстрогор"" Сирене смес от Овче и Краве мляко, Кофа ПВЦ 8 кг./бр."
"""Пъстрогор"" Сирене смес от Овче и Краве мляко, Тенекия 14 кг./бр."
(Овче) прясно мляко
(Овчи) Ръчен кашкавал 200 гр.
1 кашон 12 бр х 220 гр Пудинг от заквасена сърцевина от млад кокос с банан
1 кашон от 12 бр х 220 гр Пудинг от заквасена сърцевина от млад кокос с ванилия
1 кашон от 12 бр х 220 гр Пудинг от заквасена сърцевина от млад кокос с ягоди
1 кашон от 12 бр х 220 гр Пудинг от заквасена сърцевина от млад кокос Шоко-Лешник
1 кашон от 12 бр х 260 гр пробиотично смути от Млад кокос и ягода
1 кашон от 12 бр х 260 гр Пробиотично смути от Млад кокос Кефир
1 кашон от 12 бр х 260 гр Пробиотично смути от Млад кокос с ванилия
1 кашон от 12 бр х 260гр Пробиотично смути от Млад кокос Шоко-Лешник
1 кашон от 12 броя х 260 гр пробиотично смути от Млад кокос Веган Айрян
1 кашон от 12 броя х 260 гр Пробиотично смути от Млад кокос и банан
1 кашон от 12 кофички - Заквасена сърцевина от млад кокос Marty's
10 х 44g мини шоколадова пица асорти- само млечен
100 % ИСТИНСКИ СОК ОТ КРУША СТУДЕНО-ПРЕСОВАН
100 ДИПА 8%
100% истински сок от ябълка
100% ИСТИНСКИ ЧЕРЕШОВ ОЦЕТ
100% ИСТИНСКИ ЯБЪЛКОВ ОЦЕТ
"100% Кокосова вода, 300 мл."
"100% Кокосова вода, 300 мл. кашон"
"100% Натурален билков чай Eco Bulgaria 3 x 1 - Детокс, отслабване и имунитет"
"100% Прясно изцеден сок от ананас, банан, кокосово мляко, манго, лайм в 250 мл"
"100% Прясно изцеден сок от ананас, банан, кокосово мляко, манго, лайм в 750 мл"
100% Прясно изцеден сок от диня
100% Прясно изцеден сок от диня
100% Прясно изцеден сок от диня
100% Прясно изцеден сок от диня 400 мл
100% Прясно изцеден сок от домат
100% Прясно изцеден сок от домат
100% Прясно изцеден сок от домат
100% Прясно изцеден сок от краставица спанак селари лимон ябълка
100% Прясно изцеден сок от краставица спанак целина лимон ябълка
100% Прясно изцеден сок от нар
100% Прясно изцеден сок от нар
100% Прясно изцеден сок от нар
100% Прясно изцеден сок от портокал ябълка морков
100% Прясно изцеден сок от портокал ябълка морков
100% Прясно изцеден сок от портокал ябълка морков
100% Прясно изцеден сок от портокал ябълка морков
100% Прясно изцеден сок от портокал ябълка морков 250 мл
100% Прясно изцеден сок от портокал ябълка морков 750 мл
"100% Прясно изцеден сок от портокал, банан и морков"
"100% Прясно изцеден сок от портокал, банан и морков"
"100% Прясно изцеден сок от портокал, банан и морков 250 мл"
"100% Прясно изцеден сок от портокал, банан и морков 750 мл"
